====== Room 1 ======
/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Left/LT_10.txt -- ((10, 8))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM7_10.txt -- ((10, 10))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM4_10.txt -- ((10, 9))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM3_10.txt -- ((10, 8))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM2_10.txt -- ((10, 8))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM1_10.txt -- ((10, 6))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM4_10.txt -- ((10, 9))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM1_10.txt -- ((10, 6))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM5_10.txt -- ((10, 9))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM7_10.txt -- ((10, 10))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM8_10.txt -- ((10, 12))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM5_10.txt -- ((10, 9))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Right/RT_10.txt -- ((10, 6))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Right/RM1_10.txt -- ((0, 0))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Rooms/C_10.txt -- ((10, 6))

====== Room 2 ======
/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Left/LT_10.txt -- ((10, 8))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MH1_10.txt -- ((10, 6))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MX_10.txt -- ((10, 5))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MH1_10.txt -- ((10, 6))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MH3_10.txt -- ((10, 8))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MX_10.txt -- ((10, 5))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MH3_10.txt -- ((10, 8))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MH6_10.txt -- ((10, 9))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Right/RT_10.txt -- ((10, 6))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Right/RH1_10.txt -- ((0, 0))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Rooms/C_10.txt -- ((10, 6))

====== Room 1 ======
/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Left/LT_10.txt -- ((10, 8))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM8_10.txt -- ((10, 12))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MX_10.txt -- ((10, 5))

/home/sasank/Documents/GodotNET/MIMEVA/Levels/Parts/Middle/MM1_10.txt -- ((10, 6))

